m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 16, 1, 4.954839
32, 32, 32, 1, 32, 1, 4.681143
48, 48, 48, 1, 48, 1, 5.551807
64, 64, 64, 1, 64, 1, 6.079406
80, 80, 80, 1, 80, 1, 6.429468
96, 96, 96, 1, 96, 1, 6.368672
112, 112, 112, 1, 112, 1, 6.489675
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 1, 16, 4.151351
32, 32, 1, 32, 1, 32, 4.744401
48, 48, 1, 48, 1, 48, 5.004163
64, 64, 1, 64, 1, 64, 4.712560
80, 80, 1, 80, 1, 80, 6.424090
96, 96, 1, 96, 1, 96, 6.700515
112, 112, 1, 112, 1, 112, 6.892308
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.357447
32, 32, 32, 1, 1, 32, 4.663378
48, 48, 48, 1, 1, 48, 4.783391
64, 64, 64, 1, 1, 64, 6.079406
80, 80, 80, 1, 1, 80, 6.437552
96, 96, 96, 1, 1, 96, 6.702546
112, 112, 112, 1, 1, 112, 6.904954
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 16, 1, 4.179592
32, 32, 1, 32, 32, 1, 4.452174
48, 48, 1, 48, 48, 1, 5.551807
64, 64, 1, 64, 64, 1, 6.075649
80, 80, 1, 80, 80, 1, 6.277074
96, 96, 1, 96, 96, 1, 6.359517
112, 112, 1, 112, 112, 1, 6.460429
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 4.326760
32, 32, 64, 32, 32, 2, 4.215437
48, 48, 96, 48, 48, 2, 5.551807
64, 64, 128, 64, 64, 2, 6.079406
80, 80, 160, 80, 80, 2, 6.097658
96, 96, 192, 96, 96, 2, 6.098263
112, 112, 224, 112, 112, 2, 6.204782
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.954839
32, 16, 16, 1, 1, 16, 4.311579
48, 16, 16, 1, 1, 16, 4.452174
64, 16, 16, 1, 1, 16, 5.307991
80, 16, 16, 1, 1, 16, 4.426513
96, 16, 16, 1, 1, 16, 5.373761
112, 16, 16, 1, 1, 16, 5.389474
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.954839
16, 32, 32, 1, 1, 32, 4.654545
16, 48, 48, 1, 1, 48, 5.421176
16, 64, 64, 1, 1, 64, 5.936232
16, 80, 80, 1, 1, 80, 6.308008
16, 96, 96, 1, 1, 96, 6.582857
16, 112, 112, 1, 1, 112, 6.783597
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 16, 1, 3.614118
32, 32, 32, 1, 32, 1, 4.517647
48, 48, 48, 1, 48, 1, 5.551807
64, 64, 64, 1, 64, 1, 6.075649
80, 80, 80, 1, 80, 1, 5.674178
96, 96, 96, 1, 96, 1, 6.376016
112, 112, 112, 1, 112, 1, 6.493874
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 1, 16, 4.915200
32, 32, 1, 32, 1, 32, 4.735260
48, 48, 1, 48, 1, 48, 5.518563
64, 64, 1, 64, 1, 64, 4.912744
80, 80, 1, 80, 1, 80, 6.432161
96, 96, 1, 96, 1, 96, 5.025767
112, 112, 1, 112, 1, 112, 6.900207
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.388572
32, 32, 32, 1, 1, 32, 4.717083
48, 48, 48, 1, 1, 48, 4.642821
64, 64, 64, 1, 1, 64, 6.075649
80, 80, 80, 1, 1, 80, 4.970874
96, 96, 96, 1, 1, 96, 5.381606
112, 112, 112, 1, 1, 112, 5.455890
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 1, 16, 16, 1, 4.326760
32, 32, 1, 32, 32, 1, 4.035468
48, 48, 1, 48, 48, 1, 4.027385
64, 64, 1, 64, 64, 1, 4.450158
80, 80, 1, 80, 80, 1, 6.171153
96, 96, 1, 96, 96, 1, 6.368672
112, 112, 1, 112, 112, 1, 6.467368
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 32, 16, 16, 2, 4.915200
32, 32, 64, 32, 32, 2, 4.585075
48, 48, 96, 48, 48, 2, 5.551807
64, 64, 128, 64, 64, 2, 6.075649
80, 80, 160, 80, 80, 2, 6.259169
96, 96, 192, 96, 96, 2, 6.094902
112, 112, 224, 112, 112, 2, 6.252461
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.915200
32, 16, 16, 1, 1, 16, 5.184810
48, 16, 16, 1, 1, 16, 5.266286
64, 16, 16, 1, 1, 16, 4.436101
80, 16, 16, 1, 1, 16, 4.432900
96, 16, 16, 1, 1, 16, 4.015687
112, 16, 16, 1, 1, 16, 5.355915
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 1, 16, 4.237241
16, 32, 32, 1, 1, 32, 4.436101
16, 48, 48, 1, 1, 48, 5.405279
16, 64, 64, 1, 1, 64, 5.067216
16, 80, 80, 1, 1, 80, 6.295082
16, 96, 96, 1, 1, 96, 6.571123
16, 112, 112, 1, 1, 112, 6.783597
m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 16, 16, 1, 16, 1, 4.762791
32, 32, 32, 1, 32, 1, 4.744401
