m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 16, 1, PASS
32, 32, 32, 1, 32, 1, PASS
48, 48, 48, 1, 48, 1, PASS
64, 64, 64, 1, 64, 1, PASS
80, 80, 80, 1, 80, 1, PASS
96, 96, 96, 1, 96, 1, PASS
112, 112, 112, 1, 112, 1, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 1, 16, 1, 16, PASS
32, 32, 1, 32, 1, 32, PASS
48, 48, 1, 48, 1, 48, PASS
64, 64, 1, 64, 1, 64, PASS
80, 80, 1, 80, 1, 80, PASS
96, 96, 1, 96, 1, 96, PASS
112, 112, 1, 112, 1, 112, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 1, 16, PASS
32, 32, 32, 1, 1, 32, PASS
48, 48, 48, 1, 1, 48, PASS
64, 64, 64, 1, 1, 64, PASS
80, 80, 80, 1, 1, 80, PASS
96, 96, 96, 1, 1, 96, PASS
112, 112, 112, 1, 1, 112, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 1, 16, 16, 1, PASS
32, 32, 1, 32, 32, 1, PASS
48, 48, 1, 48, 48, 1, PASS
64, 64, 1, 64, 64, 1, PASS
80, 80, 1, 80, 80, 1, PASS
96, 96, 1, 96, 96, 1, PASS
112, 112, 1, 112, 112, 1, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 2, 16, 16, 2, PASS
32, 32, 2, 32, 32, 2, PASS
48, 48, 2, 48, 48, 2, PASS
64, 64, 2, 64, 64, 2, PASS
80, 80, 2, 80, 80, 2, PASS
96, 96, 2, 96, 96, 2, PASS
112, 112, 2, 112, 112, 2, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 1, 16, PASS
32, 16, 16, 1, 1, 16, PASS
48, 16, 16, 1, 1, 16, PASS
64, 16, 16, 1, 1, 16, PASS
80, 16, 16, 1, 1, 16, PASS
96, 16, 16, 1, 1, 16, PASS
112, 16, 16, 1, 1, 16, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 1, 16, PASS
16, 32, 32, 1, 1, 32, PASS
16, 48, 48, 1, 1, 48, PASS
16, 64, 64, 1, 1, 64, PASS
16, 80, 80, 1, 1, 80, PASS
16, 96, 96, 1, 1, 96, PASS
16, 112, 112, 1, 1, 112, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 16, 1, PASS
32, 32, 32, 1, 32, 1, PASS
48, 48, 48, 1, 48, 1, PASS
64, 64, 64, 1, 64, 1, PASS
80, 80, 80, 1, 80, 1, PASS
96, 96, 96, 1, 96, 1, PASS
112, 112, 112, 1, 112, 1, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 1, 16, 1, 16, PASS
32, 32, 1, 32, 1, 32, PASS
48, 48, 1, 48, 1, 48, PASS
64, 64, 1, 64, 1, 64, PASS
80, 80, 1, 80, 1, 80, PASS
96, 96, 1, 96, 1, 96, PASS
112, 112, 1, 112, 1, 112, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 16, 1, 1, 16, PASS
32, 32, 32, 1, 1, 32, PASS
48, 48, 48, 1, 1, 48, PASS
64, 64, 64, 1, 1, 64, PASS
80, 80, 80, 1, 1, 80, PASS
96, 96, 96, 1, 1, 96, PASS
112, 112, 112, 1, 1, 112, PASS
m, n, rs_src, cs_src, rs_dst, cs_dst, result
16, 16, 1, 16, 16, 1, PASS
32, 32, 1, 32, 32, 1, PASS
48, 48, 1, 48, 48, 1, PASS
64, 64, 1, 64, 64, 1, PASS
